nameWithOwner,npm_pkg,state,updated_version,updated_hash,updated_coverage_lines_total,updated_coverage_lines_covered,updated_coverage_lines_skipped,updated_coverage_lines_pct,updated_coverage_statements_total,updated_coverage_statements_covered,updated_coverage_statements_skipped,updated_coverage_statements_pct,updated_coverage_state,updated_tests,prev_version,prev_hash,prev_coverage_lines_total,prev_coverage_lines_covered,prev_coverage_lines_skipped,prev_coverage_lines_pct,prev_coverage_statements_total,prev_coverage_statements_covered,prev_coverage_statements_skipped,prev_coverage_statements_pct,prev_coverage_state,prev_tests,stats_failure,stats_success,testCases_change,testCases_insert,testCases_delete,testCases_unchanged,otherCodes_change,otherCodes_delete,otherCodes_unchanged,isBreaking
blakeembrey/array-flatten,array-flatten,success,2.1.2,04b45e7a5a9fb7e7946a1321287a09e84f1d352d,7,7,0,100,79,78,0,98.73,success,8,2.1.1,b5619025bfb5d624fc2106ec81f9fdecf5419e04,7,7,0,100,79,78,0,98.73,success,8,0,23,0,0,0,8,0,0,1,false
blakeembrey/array-flatten,array-flatten,failure,3.0.0,66299a02d2ce6a9b6998be333581a87affbb8631,0,0,0,Unknown,0,0,0,Unknown,success,6,2.1.2,04b45e7a5a9fb7e7946a1321287a09e84f1d352d,7,7,0,100,79,78,0,98.73,success,8,21,2,1,5,7,0,0,1,0,true
blakeembrey/array-flatten,array-flatten,success,2.1.1,b5619025bfb5d624fc2106ec81f9fdecf5419e04,7,7,0,100,79,78,0,98.73,success,8,2.1.0,d5446b9a5e373c3dfa73b9275c53fc9c32ef0979,7,7,0,100,79,78,0,98.73,success,8,0,14,0,0,0,8,0,0,1,false
blakeembrey/array-flatten,array-flatten,success,2.1.0,d5446b9a5e373c3dfa73b9275c53fc9c32ef0979,7,7,0,100,79,78,0,98.73,success,8,2.0.0,d947b86ed11cd952f1bf84dbfa584099845385a2,7,7,0,100,79,78,0,98.73,success,8,0,11,0,0,0,8,0,0,1,false
blakeembrey/array-flatten,array-flatten,success,2.0.0,d947b86ed11cd952f1bf84dbfa584099845385a2,7,7,0,100,79,78,0,98.73,success,8,1.1.1,1963a9189229d408e1e8f585a00c8be9edbd1803,7,7,0,100,50,49,0,98,success,3,0,3,3,5,0,0,1,0,0,true
blakeembrey/array-flatten,array-flatten,success,0.0.3,9bcb9b907884f25e343f30488ac7473e65e0bba5,7,7,0,100,36,35,0,97.22,success,3,0.0.2,1b7523ba7cb5ecacd3be2e79679337d376b92a73,7,7,0,100,36,35,0,97.22,success,3,0,1,0,0,0,3,0,0,1,false
blakeembrey/array-flatten,array-flatten,success,1.0.0,b5a19b457cf6b892d45ce22a8b04c749e2146e19,7,7,0,100,36,35,0,97.22,success,3,0.0.3,9bcb9b907884f25e343f30488ac7473e65e0bba5,7,7,0,100,36,35,0,97.22,success,3,0,1,0,0,0,3,0,0,1,false
blakeembrey/array-flatten,array-flatten,success,1.0.1,223b1a9f12df1d98b7c9f517c90e873db959e6b6,7,7,0,100,32,31,0,96.88,success,3,1.0.0,b5a19b457cf6b892d45ce22a8b04c749e2146e19,7,7,0,100,36,35,0,97.22,success,3,0,1,0,0,0,3,0,0,1,false
blakeembrey/array-flatten,array-flatten,success,1.0.2,31e383659b87ad53121565580eb5d354fea42627,7,7,0,100,26,25,0,96.15,success,3,1.0.1,223b1a9f12df1d98b7c9f517c90e873db959e6b6,7,7,0,100,32,31,0,96.88,success,3,0,1,0,0,0,3,0,0,1,false
blakeembrey/array-flatten,array-flatten,success,1.1.0,73c57136fb4210569e585555988cc8c39c3468df,7,7,0,100,50,49,0,98,success,3,1.0.2,31e383659b87ad53121565580eb5d354fea42627,7,7,0,100,26,25,0,96.15,success,3,0,1,3,0,0,0,1,0,0,true
blakeembrey/array-flatten,array-flatten,success,1.1.1,1963a9189229d408e1e8f585a00c8be9edbd1803,7,7,0,100,50,49,0,98,success,3,1.1.0,73c57136fb4210569e585555988cc8c39c3468df,7,7,0,100,50,49,0,98,success,3,0,1,0,0,0,3,0,0,1,false
chalk/ansi-regex,ansi-regex,success,4.0.0,a1d92466388fc8766b63bfab27ddc1e1df897dda,9,9,0,100,9,9,0,100,success,7,3.0.0,0a8cc19946c03c38520fe8c086b8adb66f9cce0b,,,,,,,,,failure,6,0,14,6,1,0,0,1,0,0,true
chalk/ansi-regex,ansi-regex,success,4.1.0,a079ab2d30cfb752a3f247dcf358d0a591c288c5,9,9,0,100,9,9,0,100,success,9,4.0.0,a1d92466388fc8766b63bfab27ddc1e1df897dda,9,9,0,100,9,9,0,100,success,7,0,14,0,2,0,7,1,0,0,true
chalk/ansi-regex,ansi-regex,success,5.0.0,2b56fb0c7a07108e5b54241e8faec160d393aedb,8,8,0,100,8,8,0,100,success,9,4.1.0,a079ab2d30cfb752a3f247dcf358d0a591c288c5,9,9,0,100,9,9,0,100,success,9,0,14,0,0,0,9,1,0,0,true
chalk/ansi-regex,ansi-regex,failure,6.0.0,c1b5e45f7c65a332ffb03ac8e5804ad37c579cdc,0,0,0,Unknown,0,0,0,Unknown,success,9,5.0.0,2b56fb0c7a07108e5b54241e8faec160d393aedb,8,8,0,100,8,8,0,100,success,9,8,6,0,0,0,9,1,0,0,true
chalk/ansi-regex,ansi-regex,success,2.1.1,7c908e7b4eb6cd82bfe1295e33fdf6d166c7ed85,6,6,0,100,6,6,0,100,success,6,2.0.0,57c3f2941a73079fa8b081e02a522e3d29913e2f,2,2,0,100,2,2,0,100,success,6,0,10,0,6,6,0,0,1,0,true
chalk/ansi-regex,ansi-regex,success,3.0.0,0a8cc19946c03c38520fe8c086b8adb66f9cce0b,,,,,,,,,failure,6,2.1.1,7c908e7b4eb6cd82bfe1295e33fdf6d166c7ed85,6,6,0,100,6,6,0,100,success,6,0,10,6,0,0,0,1,0,0,true
chalk/ansi-regex,ansi-regex,success,2.0.0,57c3f2941a73079fa8b081e02a522e3d29913e2f,2,2,0,100,2,2,0,100,success,6,1.1.1,47fb974630af70998157b30fad6eb5e5bd7c7cd6,2,2,0,100,2,2,0,100,success,6,0,2,6,0,0,0,1,0,0,true
chalk/ansi-regex,ansi-regex,success,1.1.1,47fb974630af70998157b30fad6eb5e5bd7c7cd6,2,2,0,100,2,2,0,100,success,6,1.1.0,24f5fa6270f7306fd462046a8f62f3c68d265674,2,2,0,100,2,2,0,100,success,6,0,1,0,0,0,6,0,0,1,false
chalk/ansi-styles,ansi-styles,success,2.1.0,18421cbe4a2d93359ec2599a894f704be126d066,10,10,0,100,10,10,0,100,success,4,2.0.1,da6541334e1681cb803f891fab8abf4313cc4bc1,8,8,0,100,8,8,0,100,success,3,0,7,0,1,0,3,1,0,0,true
chalk/ansi-styles,ansi-styles,failure,3.0.0,a80f4c8d155dc6d2c90c0a790ce2dc2e60e6defb,,,,,,,,,failure,8,2.1.0,18421cbe4a2d93359ec2599a894f704be126d066,10,10,0,100,10,10,0,100,success,4,1,8,1,7,3,0,1,0,0,true
chalk/ansi-styles,ansi-styles,success,3.1.0,a8f7d0f353eca6d67bad277b6437860fbc0d007e,,,,,,,,,failure,8,3.0.0,a80f4c8d155dc6d2c90c0a790ce2dc2e60e6defb,,,,,,,,,failure,8,0,13,1,0,0,7,1,0,0,true
chalk/ansi-styles,ansi-styles,success,3.2.0,3340c4d536078a51fd7b5049e939c43c5ab05db3,,,,,,,,,failure,9,3.1.0,a8f7d0f353eca6d67bad277b6437860fbc0d007e,,,,,,,,,failure,8,0,14,0,1,0,8,1,0,0,true
chalk/ansi-styles,ansi-styles,success,3.2.1,de7527a86c1cf49906b0eb32a0de1402d849ccc2,,,,,,,,,failure,11,3.2.0,3340c4d536078a51fd7b5049e939c43c5ab05db3,,,,,,,,,failure,9,0,17,1,2,0,8,0,1,0,true
chalk/ansi-styles,ansi-styles,success,4.0.0,3df6a798ff5a86fed4e93d638a0d8525056e684d,49,48,0,97.96,54,52,0,96.3,success,11,3.2.1,de7527a86c1cf49906b0eb32a0de1402d849ccc2,,,,,,,,,failure,11,0,17,2,0,0,9,0,0,1,true
chalk/ansi-styles,ansi-styles,success,4.1.0,18d3055ac5dab4c210534ce525d6493430d557d9,51,51,0,100,62,61,0,98.39,success,11,4.0.0,3df6a798ff5a86fed4e93d638a0d8525056e684d,49,48,0,97.96,54,52,0,96.3,success,11,0,17,0,0,0,11,0,0,1,false
chalk/ansi-styles,ansi-styles,success,4.2.0,6d1245dee68379d261d358cb46f8f7669218b04f,51,51,0,100,62,61,0,98.39,success,11,4.1.0,18d3055ac5dab4c210534ce525d6493430d557d9,51,51,0,100,62,61,0,98.39,success,11,0,17,0,0,0,11,0,0,1,false
chalk/ansi-styles,ansi-styles,success,4.2.1,74d421cf32342ac6ec7b507bd903a9e1105f74d7,51,51,0,100,62,61,0,98.39,success,11,4.2.0,6d1245dee68379d261d358cb46f8f7669218b04f,51,51,0,100,62,61,0,98.39,success,11,0,17,0,0,0,11,0,0,1,false
chalk/ansi-styles,ansi-styles,success,4.3.0,2d02d5bd070f733179007f0904eb5fb41090395a,51,51,0,100,62,61,0,98.39,success,11,4.2.1,74d421cf32342ac6ec7b507bd903a9e1105f74d7,51,51,0,100,62,61,0,98.39,success,11,0,17,0,0,0,11,0,0,1,false
chalk/ansi-styles,ansi-styles,failure,5.0.0,94ab248a83af375cf2179adce343df89daa25da0,,,,,,,,,failure,9,4.3.0,2d02d5bd070f733179007f0904eb5fb41090395a,51,51,0,100,62,61,0,98.39,success,11,1,16,3,0,2,6,1,0,0,true
chalk/ansi-styles,ansi-styles,success,5.1.0,b890cf7edccf56215e5948d1cc385fa4e85a8969,42,38,0,90.48,48,43,0,89.58,success,9,5.0.0,94ab248a83af375cf2179adce343df89daa25da0,,,,,,,,,failure,9,0,16,1,0,0,8,1,0,0,true
chalk/ansi-styles,ansi-styles,success,5.2.0,4d30b90085fb5a971d7cb0f4dca0920ff4dbc955,41,37,0,90.24,46,41,0,89.13,success,9,5.1.0,b890cf7edccf56215e5948d1cc385fa4e85a8969,42,38,0,90.48,48,43,0,89.58,success,9,0,16,0,0,0,9,0,0,1,false
chalk/ansi-styles,ansi-styles,failure,6.0.0,b566b5ba72df29dc2896db5b4f9bcd1e40789eb2,0,0,0,Unknown,0,0,0,Unknown,success,8,5.2.0,4d30b90085fb5a971d7cb0f4dca0920ff4dbc955,41,37,0,90.24,46,41,0,89.13,success,9,16,0,7,1,2,0,1,0,0,true
chalk/ansi-styles,ansi-styles,success,2.0.0,8c71708c951ab5ba824487c67053fb8f1eb8b6ea,8,8,0,100,8,8,0,100,success,3,1.1.0,824376150582340bffb7b6b2b59546a3a062eab5,7,7,0,100,7,7,0,100,success,1,0,1,1,2,0,0,1,0,0,true
chalk/ansi-styles,ansi-styles,success,2.0.1,da6541334e1681cb803f891fab8abf4313cc4bc1,8,8,0,100,8,8,0,100,success,3,2.0.0,8c71708c951ab5ba824487c67053fb8f1eb8b6ea,8,8,0,100,8,8,0,100,success,3,0,3,0,0,0,3,0,0,1,false
component/merge-descriptors,merge-descriptors,success,1.0.1,f26c49c3b423b0b2ac31f6e32a84e1632f2d7ac2,,,,,,,,,failure,8,1.0.0,81d7a3c14099884c391bd237d7d8edf23c6d6f18,0,0,0,Unknown,0,0,0,Unknown,success,0,0,21,0,8,0,0,0,0,0,false
component/merge-descriptors,merge-descriptors,success,1.0.0,81d7a3c14099884c391bd237d7d8edf23c6d6f18,0,0,0,Unknown,0,0,0,Unknown,success,0,0.0.2,c206b8b7e52238f47a14022e94f231d79dc1ac3b,,,,,,,,,failure,0,0,9,0,0,0,0,0,0,0,false
dominictarr/through,through,failure,2.3.0,40a35aef4bab9dd87fdf01c7fd1494e07916a451,,,,,,,,,failure,6,2.2.7,25dfd5e15b8b0d46027a3a69d3bf89f52d39a056,57,57,0,100,65,62,0,95.38,success,6,18,0,0,0,0,6,0,0,1,false
dominictarr/through,through,failure,2.3.5,45c64bd6d0dd8e09a8d85a2a9afb3541cb72d08a,60,60,0,100,71,68,0,95.77,success,7,2.3.4,25f9ecc913e8f85593146f7bee321a63bbddbb87,60,60,0,100,71,68,0,95.77,success,7,229,0,0,0,0,7,0,0,1,false
dominictarr/through,through,success,2.1.0,ec0c445673708a5772d005940b487209e1cbb87a,57,57,0,100,65,62,0,95.38,success,0,2.0.0,675c88a0f8905b398a161d237f86fe54c560d3b1,52,52,0,100,60,57,0,95,success,0,0,17,0,0,0,0,0,0,0,false
dominictarr/through,through,success,2.2.0,bdf8abc76c9fc1fd6facdb2b77c483ae95fd55f5,57,57,0,100,65,62,0,95.38,success,0,2.1.0,ec0c445673708a5772d005940b487209e1cbb87a,57,57,0,100,65,62,0,95.38,success,0,0,19,0,0,0,0,0,0,0,false
dominictarr/through,through,success,2.2.1,013fceae3fc087076b5a8596d883215c1cb20140,57,57,0,100,65,62,0,95.38,success,0,2.2.0,bdf8abc76c9fc1fd6facdb2b77c483ae95fd55f5,57,57,0,100,65,62,0,95.38,success,0,0,27,0,0,0,0,0,0,0,false
dominictarr/through,through,success,2.2.2,382a7231c705fcb3ef8911e8d6ad2efa8bc8ea44,57,57,0,100,65,62,0,95.38,success,6,2.2.1,013fceae3fc087076b5a8596d883215c1cb20140,57,57,0,100,65,62,0,95.38,success,0,0,29,0,6,0,0,0,0,0,false
dominictarr/through,through,failure,2.2.3,bf5c807ad04b4b92c0fe16bc553167532d651d07,57,57,0,100,65,62,0,95.38,success,6,2.2.2,382a7231c705fcb3ef8911e8d6ad2efa8bc8ea44,57,57,0,100,65,62,0,95.38,success,6,29,0,0,0,0,6,0,0,1,false
dominictarr/through,through,success,2.3.7,d532966ebcae90fd6a150cc489b55c6a4e0bc4a0,60,60,0,100,71,68,0,95.77,success,8,2.3.6,19ed9b7e84efe7c3e3c8be80f29390b1620e13c0,60,60,0,100,71,68,0,95.77,success,7,0,36,0,1,0,7,1,0,1,true
dominictarr/through,through,success,2.3.8,2c5a6f9a0cc54da759b6e10964f2081c358e49dc,60,60,0,100,71,68,0,95.77,success,8,2.3.7,d532966ebcae90fd6a150cc489b55c6a4e0bc4a0,60,60,0,100,71,68,0,95.77,success,8,0,59,0,0,0,8,0,0,1,false
dominictarr/through,through,success,2.3.2,1adf6de320efc41344fc41dea541d09910d265dd,60,60,0,100,71,68,0,95.77,success,7,2.3.1,d682d6c8f2b41743027c614e3a0c70f2bcf40edf,58,58,0,100,66,63,0,95.45,success,6,0,6,0,1,0,6,1,0,1,true
